"PARTICIPANT","GENDER","PAIR.INDEX","STIMULUS","FREQUENCY","COCAMD","ERRTYPE","CORRECT","NUM.WORDS","INTERRUPTED"
"s5","Female",13,"out to","LO",16.6,"C",TRUE,"2",FALSE
"s6","Female",2,"all of a sudden","HI",55.29,"C",TRUE,"4",FALSE
"s6","Female",2,"all of a boy","LO",3.15,"C",TRUE,"4",FALSE
"s6","Female",3,"as the name of","LO",23.1,"C",TRUE,"4",FALSE
"s6","Female",3,"as a result of","HI",56.25,"R",FALSE,"4",FALSE
"s6","Female",4,"for the sake of","HI",50.25,"C",TRUE,"4",FALSE
"s6","Female",4,"for the child of","LO",12.05,"P",FALSE,"4",TRUE
"s6","Female",5,"in the middle of","HI",55.79,"C",TRUE,"4",FALSE
"s6","Female",5,"in the style of","LO",34.84,"C",TRUE,"4",FALSE
"s6","Female",6,"on the part of","HI",49.15,"C",TRUE,"4",FALSE
"s6","Female",6,"on the life of","LO",30.22,"C",TRUE,"4",FALSE
"s6","Female",7,"as soon as","HI",40.81,"C",TRUE,"3",FALSE
"s6","Female",7,"as big as","LO",30.24,"C",TRUE,"3",FALSE
"s6","Female",8,"in spite of","HI",36.52,"C",TRUE,"3",FALSE
"s6","Female",8,"in fear of","LO",21.06,"C",TRUE,"3",FALSE
"s6","Female",9,"in terms of","HI",40.39,"C",TRUE,"3",FALSE
"s6","Female",9,"in things of","LO",3.48,"C",TRUE,"3",FALSE
"s6","Female",10,"on top of","HI",36.6,"C",TRUE,"3",FALSE
"s6","Female",10,"on half of","LO",14.13,"P",FALSE,"3",TRUE
"s6","Female",11,"according to","HI",21.86,"C",TRUE,"2",FALSE
"s6","Female",12,"back to","HI",19.76,"P",FALSE,"2",TRUE
"s6","Female",12,"through to","LO",9.65,"R",FALSE,"2",FALSE
"s6","Female",13,"out of","HI",21.35,"C",TRUE,"2",FALSE
"s6","Female",13,"out to","LO",16.6,"P",FALSE,"2",TRUE
"s7","Male",2,"all of a sudden","HI",55.29,"C",TRUE,"4",FALSE
"s7","Male",2,"all of a boy","LO",3.15,"P",FALSE,"4",TRUE
"s7","Male",3,"as a result of","HI",56.25,"C",TRUE,"4",FALSE
"s7","Male",3,"as the name of","LO",23.1,"C",TRUE,"4",FALSE
"s7","Male",4,"for the sake of","HI",50.25,"C",TRUE,"4",FALSE
"s7","Male",4,"for the child of","LO",12.05,"C",TRUE,"4",FALSE
"s7","Male",5,"in the middle of","HI",55.79,"P",FALSE,"4",TRUE
"s7","Male",5,"in the style of","LO",34.84,"P",FALSE,"4",TRUE
"s7","Male",6,"on the part of","HI",49.15,"C",TRUE,"4",FALSE
"s7","Male",6,"on the life of","LO",30.22,"C",TRUE,"4",FALSE
"s7","Male",7,"as soon as","HI",40.81,"C",TRUE,"3",FALSE
"s7","Male",7,"as big as","LO",30.24,"C",TRUE,"3",FALSE
"s7","Male",8,"in spite of","HI",36.52,"C",TRUE,"3",FALSE
"s7","Male",8,"in fear of","LO",21.06,"C",TRUE,"3",FALSE
"s7","Male",9,"in things of","LO",3.48,"C",TRUE,"3",FALSE
"s7","Male",9,"in terms of","HI",40.39,"R",FALSE,"3",FALSE
"s7","Male",10,"on top of","HI",36.6,"C",TRUE,"3",FALSE
"s7","Male",10,"on half of","LO",14.13,"P",FALSE,"3",TRUE
"s7","Male",11,"according to","HI",21.86,"C",TRUE,"2",FALSE
"s7","Male",11,"looking to","LO",13.1,"C",TRUE,"2",FALSE
"s7","Male",12,"back to","HI",19.76,"C",TRUE,"2",FALSE
"s7","Male",12,"through to","LO",9.65,"P",FALSE,"2",TRUE
"s7","Male",13,"out of","HI",21.35,"C",TRUE,"2",FALSE
"s7","Male",13,"out to","LO",16.6,"C",TRUE,"2",FALSE
"s8","Female",2,"all of a sudden","HI",55.29,"OMIT",FALSE,"4",FALSE
"s8","Female",2,"all of a boy","LO",3.15,"P",FALSE,"4",TRUE
"s8","Female",4,"for the sake of","HI",50.25,"C",TRUE,"4",FALSE
"s8","Female",5,"in the style of","LO",34.84,"P",FALSE,"4",TRUE
"s8","Female",5,"in the middle of","HI",55.79,"RECAST",FALSE,"4",FALSE
"s8","Female",6,"on the life of","LO",30.22,"C",TRUE,"4",FALSE
"s8","Female",6,"on the part of","HI",49.15,"R",FALSE,"4",FALSE
"s8","Female",7,"as soon as","HI",40.81,"C",TRUE,"3",FALSE
"s8","Female",7,"as big as","LO",30.24,"C",TRUE,"3",FALSE
"s8","Female",8,"in spite of","HI",36.52,"R",FALSE,"3",FALSE
"s8","Female",9,"in things of","LO",3.48,"P",FALSE,"3",TRUE
"s8","Female",9,"in terms of","HI",40.39,"R",FALSE,"3",FALSE
"s8","Female",10,"on top of","HI",36.6,"P",FALSE,"3",TRUE
"s8","Female",10,"on half of","LO",14.13,"P",FALSE,"3",TRUE
"s8","Female",11,"looking to","LO",13.1,"C",TRUE,"2",FALSE
"s8","Female",11,"according to","HI",21.86,"RECAST",FALSE,"2",FALSE
"s8","Female",12,"back to","HI",19.76,"C",TRUE,"2",FALSE
"s8","Female",12,"through to","LO",9.65,"R",FALSE,"2",FALSE
"s8","Female",13,"out of","HI",21.35,"C",TRUE,"2",FALSE
"s8","Female",13,"out to","LO",16.6,"P",FALSE,"2",TRUE
"s9","Male",2,"all of a sudden","HI",55.29,"C",TRUE,"4",FALSE
"s9","Male",3,"as the name of","LO",23.1,"C",TRUE,"4",FALSE
"s9","Male",3,"as a result of","HI",56.25,"R",FALSE,"4",FALSE
"s9","Male",4,"for the sake of","HI",50.25,"C",TRUE,"4",FALSE
"s9","Male",4,"for the child of","LO",12.05,"P",FALSE,"4",TRUE
"s9","Male",5,"in the middle of","HI",55.79,"C",TRUE,"4",FALSE
"s9","Male",5,"in the style of","LO",34.84,"P",FALSE,"4",TRUE
"s9","Male",6,"on the life of","LO",30.22,"C",TRUE,"4",FALSE
"s9","Male",7,"as soon as","HI",40.81,"C",TRUE,"3",FALSE
"s9","Male",7,"as big as","LO",30.24,"C",TRUE,"3",FALSE
"s9","Male",8,"in fear of","LO",21.06,"P",FALSE,"3",TRUE
"s9","Male",8,"in spite of","HI",36.52,"R",FALSE,"3",FALSE
"s9","Male",9,"in things of","LO",3.48,"C",TRUE,"3",FALSE
"s9","Male",9,"in terms of","HI",40.39,"R",FALSE,"3",FALSE
"s9","Male",10,"on top of","HI",36.6,"C",TRUE,"3",FALSE
"s9","Male",10,"on half of","LO",14.13,"P",FALSE,"3",TRUE
"s9","Male",11,"according to","HI",21.86,"C",TRUE,"2",FALSE
"s9","Male",12,"back to","HI",19.76,"P",FALSE,"2",TRUE
"s9","Male",12,"through to","LO",9.65,"R",FALSE,"2",FALSE
"s9","Male",13,"out to","LO",16.6,"C",TRUE,"2",FALSE
"s9","Male",13,"out of","HI",21.35,"R",FALSE,"2",FALSE
